comm_area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,,2.0,17.0,11.0,8.0,9.0,4.0,8.0,5.0,11.0,15.0,7.0,6.0,7.0,16.0,8.0,5.0,3.0,
2,,9.0,35.0,22.0,14.0,9.0,7.0,13.0,14.0,24.0,6.0,9.0,13.0,14.0,12.0,13.0,8.0,14.0,
3,,8.0,24.0,25.0,20.0,11.0,11.0,9.0,21.0,21.0,26.0,21.0,13.0,25.0,31.0,17.0,17.0,23.0,
4,,7.0,47.0,39.0,10.0,9.0,9.0,22.0,29.0,36.0,34.0,35.0,36.0,34.0,32.0,35.0,28.0,40.0,
5,,11.0,169.0,89.0,38.0,27.0,40.0,46.0,77.0,99.0,119.0,123.0,99.0,60.0,72.0,74.0,44.0,64.0,6.0
6,1.0,16.0,127.0,103.0,73.0,41.0,57.0,66.0,82.0,122.0,137.0,137.0,112.0,97.0,94.0,81.0,66.0,65.0,4.0
7,,12.0,123.0,123.0,65.0,46.0,51.0,53.0,81.0,116.0,104.0,115.0,109.0,108.0,88.0,83.0,53.0,73.0,7.0
8,1.0,3.0,102.0,111.0,101.0,61.0,41.0,46.0,74.0,90.0,102.0,112.0,146.0,119.0,95.0,80.0,63.0,67.0,5.0
9,,1.0,4.0,7.0,6.0,1.0,3.0,2.0,2.0,2.0,10.0,13.0,12.0,7.0,7.0,6.0,5.0,9.0,
10,,4.0,30.0,19.0,20.0,7.0,4.0,8.0,8.0,8.0,6.0,13.0,12.0,12.0,21.0,17.0,13.0,7.0,1.0
11,,2.0,47.0,10.0,6.0,6.0,6.0,6.0,14.0,33.0,13.0,8.0,14.0,7.0,17.0,21.0,8.0,10.0,1.0
12,,2.0,17.0,13.0,8.0,2.0,4.0,6.0,4.0,5.0,2.0,16.0,17.0,33.0,17.0,5.0,8.0,6.0,1.0
13,,,10.0,5.0,5.0,2.0,4.0,2.0,2.0,6.0,4.0,10.0,7.0,9.0,10.0,9.0,8.0,11.0,
14,,2.0,17.0,15.0,9.0,7.0,2.0,8.0,4.0,5.0,14.0,11.0,11.0,8.0,13.0,14.0,5.0,18.0,
15,,7.0,35.0,15.0,9.0,12.0,10.0,7.0,12.0,14.0,14.0,20.0,11.0,23.0,16.0,16.0,17.0,17.0,
