,area_num,geog,tot_pop,pop_hh,pop_gq,hisp,white,black,asian,other,total_homes,tot_hh,vac_homes,hh_size,vac_rate,hisp_per,white_per,black_per,asian_per
0,1,Rogers Park,55628,52242,3386,12587,22292,13819,3820,3110,28531,26402,2129,1.978713733808045,7.4620588132207075,22.62709426907313,40.07334435895592,24.841806284604875,6.867045372833824
1,2,West Ridge,77122,75531,1591,15307,28212,10484,19815,3304,28249,26493,1756,2.85097950401993,6.216149244221034,19.847773657322165,36.58100153004331,13.59404579756749,25.693057752651644
2,3,Uptown,57182,55082,2100,7587,29871,10800,6182,2742,35019,32215,2804,1.709824615862176,8.007081869842086,13.268161309502991,52.23846665034451,18.88706236228184,10.81109440033577
3,4,Lincoln Square,40494,39969,525,7069,25342,1601,4516,1966,20431,19143,1288,2.087917254348848,6.304145661005335,17.456907196127823,62.58211093001432,3.9536721489603397,11.152269472020546
4,5,North Center,35114,35058,56,4503,25799,780,2162,1870,15936,14931,1005,2.348000803697006,6.306475903614458,12.823944865295893,73.47211938258245,2.22133621917184,6.157088340832717
5,6,Lake View,103050,102745,305,9340,77133,3917,7717,4943,61920,57721,4199,1.780028066041822,6.781330749354005,9.063561377971858,74.85007278020379,3.8010674429888405,7.488597768073751
6,7,Lincoln Park,70492,67694,2798,4928,54378,2895,5169,3122,38649,35570,3079,1.9031206072533036,7.966570933271236,6.990864211541735,77.1406684446462,4.1068490041423145,7.332746978380525
7,8,Near North Side,105481,103776,1705,6587,73970,8576,12313,4035,77429,66685,10744,1.5562120416885357,13.875937956062973,6.244726538428722,70.12637347010362,8.130374190612528,11.673192328476219
8,9,Edison Park,11525,11524,1,1239,9538,62,308,378,4960,4733,227,2.434819353475597,4.576612903225806,10.750542299349242,82.75921908893709,0.5379609544468547,2.6724511930585684
9,10,Norwood Park,38303,37893,410,6247,28208,363,2222,1263,16035,15323,712,2.472949161391373,4.44028687246648,16.30942745999008,73.64436206041302,0.9477064459702895,5.801112184424197
10,11,Jefferson Park,26216,26204,12,6325,15767,431,2731,962,11183,10585,598,2.4755786490316485,5.347402307073236,24.126487641135185,60.14266097039975,1.6440341776014649,10.417302410741533
11,12,Forest Glen,19596,19555,41,2647,13388,208,2476,877,7271,7021,250,2.785215781227745,3.438316600192546,13.507858746682997,68.32006531945295,1.0614411104307002,12.63523167993468
12,13,North Park,17559,17362,197,3352,7973,743,4735,756,7098,6658,440,2.6076899969960947,6.198929275852353,19.089925394384647,45.406913833361806,4.231448260151489,26.96622814511077
13,14,Albany Park,48396,47068,1328,22688,14608,2168,7035,1897,18254,17161,1093,2.742730610104306,5.987728716993535,46.879907430366146,30.184312753120093,4.479709066865031,14.53632531614183
14,15,Portage Park,63020,62914,106,27634,28496,1378,3527,1985,25130,23436,1694,2.6845024748250554,6.740947075208914,43.849571564582675,45.21739130434783,2.1866074262139,5.596635988575056
15,16,Irving Park,51940,51602,338,21468,22165,1945,4203,2159,22878,21342,1536,2.417861493768157,6.713873590348807,41.33230650750866,42.6742395071236,3.744705429341548,8.092029264536004
16,17,Dunning,43147,42961,186,15040,24110,816,2141,1040,16390,15746,644,2.728375460434396,3.9292251372788285,34.85757990126776,55.87874012098176,1.8912091223028251,4.9621062878068
17,18,Montclare,14401,14280,121,8841,3883,881,476,320,5248,5010,238,2.8502994011976046,4.535060975609756,61.39157002985904,26.963405319075065,6.117630720088883,3.3053260190264564
18,19,Belmont Cragin,78116,77901,215,63967,8867,2633,1638,1011,24881,23450,1431,3.322004264392324,5.751376552389374,81.88719340468022,11.351067642992472,3.370628296379743,2.096881560755799
19,20,Hermosa,24062,24017,45,20448,2141,842,290,341,8127,7544,583,3.1835896076352066,7.1736188015257785,84.98046712658964,8.897847227994347,3.499293491812817,1.2052198487241292
20,21,Avondale,36257,36109,148,18968,13291,1103,1617,1278,15937,14578,1359,2.4769515708602,8.527326347493254,52.31541495435364,36.65774884849822,3.0421711669470723,4.459828446920595
21,22,Logan Square,71665,71314,351,26051,36391,3091,3098,3034,34725,32097,2628,2.221827585132567,7.568034557235421,36.35107793204493,50.77932044931278,4.313123561013047,4.322891230028605
22,23,Humboldt Park,54165,53814,351,31734,4775,16146,429,1081,21206,19072,2134,2.821623322147651,10.06318966330284,58.58764885073387,8.81565586633435,29.808917197452228,0.7920243699806148
23,24,West Town,87781,87279,502,18627,54446,5659,5102,3947,46174,42920,3254,2.033527493010252,7.047256031532897,21.219853954728244,62.02481174741687,6.44672537337237,5.812191704355157
24,25,Austin,96557,95481,1076,18590,3794,72013,369,1791,39477,35864,3613,2.662307606513496,9.152164551511007,19.252876539246248,3.9292852926250816,74.58081754818397,0.3821576892405522
25,26,West Garfield Park,17433,17045,388,1157,231,15604,21,420,7751,6573,1178,2.593184238551651,15.198038962714488,6.636838180462342,1.3250731371536741,89.50840360236333,0.12046119428669765
26,27,East Garfield Park,19992,19579,413,1664,1035,16681,96,516,8986,7828,1158,2.501149718957588,12.886712664144225,8.323329331732694,5.177070828331333,83.43837535014005,0.4801920768307323
27,28,Near West Side,67881,63759,4122,6616,29142,16361,12743,3019,37435,33918,3517,1.8797983371661064,9.394951248831308,9.746468083852625,42.93101162328192,24.10247344617787,18.772557858605502
28,29,North Lawndale,34794,34207,587,4047,835,29111,105,696,15193,12838,2355,2.664511606169185,15.500559468176133,11.63131574409381,2.3998390527102376,83.66672414784158,0.30177616830488013
